2021.05.05 06:19:25 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2021.05.05 06:19:25 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2021.05.05 06:19:25 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile vbnet/Sonar way
2021.05.05 06:19:25 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2021.05.05 06:19:26 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way recommended
2021.05.05 06:19:26 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2021.05.05 06:19:26 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2021.05.05 06:19:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@74d1b77b [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2021.05.05 06:19:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@5384dd53 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2021.05.05 06:19:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@5aadbe6c [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2021.05.05 06:19:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@18eedee6 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.05.05 06:19:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@a3347fa [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2021.05.05 06:19:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@aa02fa5 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2021.05.05 06:19:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@10f5f481 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.05.05 06:19:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@69480525 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2021.05.05 06:19:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@143fd1c6 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2021.05.05 06:19:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@3cb70cf3 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2021.05.05 06:19:27 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2021.05.05 06:19:27 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2021.05.05 06:19:27 INFO  web[][o.s.s.p.Platform] WebServer is operational
2021.05.05 06:23:25 ERROR web[][o.s.s.es.BulkIndexer] index [users], type [user], id [AXk5nWaIqel3Ba7MJycj], message [ElasticsearchException[Elasticsearch exception [type=cluster_block_exception, reason=index [users] blocked by: [TOO_MANY_REQUESTS/12/disk usage exceeded flood-stage watermark, index has read-only-allow-delete block];]]]
2021.05.05 06:31:17 ERROR web[][o.s.s.es.BulkIndexer] index [users], type [user], id [AXk5nWaIqel3Ba7MJycj], message [ElasticsearchException[Elasticsearch exception [type=cluster_block_exception, reason=index [users] blocked by: [TOO_MANY_REQUESTS/12/disk usage exceeded flood-stage watermark, index has read-only-allow-delete block];]]]
2021.05.05 06:31:17 ERROR web[][o.s.s.e.RecoveryIndexer] Elasticsearch recovery - too many failures [1/1 documents], waiting for next run
2021.05.05 06:31:17 INFO  web[][o.s.s.e.RecoveryIndexer] Elasticsearch recovery - 1 documents processed [1 failures] | time=5348ms
2021.05.05 06:36:17 ERROR web[][o.s.s.es.BulkIndexer] index [users], type [user], id [AXk5nWaIqel3Ba7MJycj], message [ElasticsearchException[Elasticsearch exception [type=cluster_block_exception, reason=index [users] blocked by: [TOO_MANY_REQUESTS/12/disk usage exceeded flood-stage watermark, index has read-only-allow-delete block];]]]
2021.05.05 06:36:17 ERROR web[][o.s.s.e.RecoveryIndexer] Elasticsearch recovery - too many failures [1/1 documents], waiting for next run
2021.05.05 06:36:17 INFO  web[][o.s.s.e.RecoveryIndexer] Elasticsearch recovery - 1 documents processed [1 failures] | time=5329ms
